institute,institute_short,program,program_core,quota,seat_type,gender,opening_rank,closing_rank,degree,duration_years,degree_type,is_dual
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Gender-Neutral,10922,16156,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Female-only,19820,23960,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Gender-Neutral,2344,4162,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Female-only,4082,6467,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Gender-Neutral,5974,8165,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Female-only,13141,16009,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,3873,5885,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Communication Engineering,AI,OPEN,Female-only,8993,10965,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Gender-Neutral,9525,12466,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Female-only,21659,22403,"4 Years, Bachelor of Technology",4,B.Tech,no
